Trial 38, Try 10 complete: Score = -1000
Trial 39, Try 1 complete: Score = -1012
Trial 39, Try 2 complete: Score = -1015
Trial 39, Try 3 complete: Score = -1012
Trial 39, Try 4 complete: Score = -1018
Trial 39, Try 5 complete: Score = -1009
Trial 39, Try 6 complete: Score = -1009
Trial 39, Try 7 complete: Score = -1009
Trial 39, Try 8 complete: Score = -1009
Trial 39, Try 9 complete: Score = -1009
Trial 39, Try 10 complete: Score = -1009
Trial 40, Try 1 complete: Score = -1013
Trial 41, Try 1 complete: Score = -1022
Trial 41, Try 2 complete: Score = -1009
Trial 41, Try 3 complete: Score = -1000
Trial 41, Try 4 complete: Score = -1000
Trial 41, Try 5 complete: Score = -1000
Trial 41, Try 6 complete: Score = -1000
Trial 41, Try 7 complete: Score = -1000
Trial 41, Try 8 complete: Score = -1000
Trial 41, Try 9 complete: Score = -1000
Trial 41, Try 10 complete: Score = -1000
Trial 42, Try 1 complete: Score = -1007
Trial 44, Try 1 complete: Score = -1018
Trial 44, Try 2 complete: Score = -1001
Trial 44, Try 3 complete: Score = -1018
Trial 44, Try 4 complete: Score = -1009
Trial 44, Try 5 complete: Score = -1000
Trial 44, Try 6 complete: Score = -1000
Trial 44, Try 7 complete: Score = -1000
Trial 44, Try 8 complete: Score = -1000
Trial 44, Try 9 complete: Score = -1000
Trial 44, Try 10 complete: Score = -1000
Trial 45, Try 1 complete: Score = -1017
Trial 45, Try 2 complete: Score = -1001
Trial 46, Try 1 complete: Score = -1002
Trial 46, Try 2 complete: Score = -1003
Trial 46, Try 3 complete: Score = -1002
Trial 46, Try 4 complete: Score = -1000
Trial 46, Try 5 complete: Score = -1000
Trial 46, Try 6 complete: Score = -1000
Trial 46, Try 7 complete: Score = -1000
Trial 46, Try 8 complete: Score = -1000
Trial 46, Try 9 complete: Score = -1000
Trial 46, Try 10 complete: Score = -1000
Trial 47, Try 1 complete: Score = -1002
Trial 47, Try 2 complete: Score = -1001
Trial 47, Try 3 complete: Score = -1005
Trial 47, Try 4 complete: Score = -1000
Trial 47, Try 5 complete: Score = -1000
Trial 47, Try 6 complete: Score = -1000
Trial 47, Try 7 complete: Score = -1000
Trial 47, Try 8 complete: Score = -1000
Trial 47, Try 9 complete: Score = -1000
Trial 47, Try 10 complete: Score = -1000
Trial 48, Try 1 complete: Score = -1002
Trial 48, Try 2 complete: Score = -1003
Trial 48, Try 3 complete: Score = -1006
Trial 48, Try 4 complete: Score = -1017
Trial 49, Try 1 complete: Score = -1012
Trial 49, Try 2 complete: Score = -1011
Trial 49, Try 3 complete: Score = -1011
Trial 49, Try 4 complete: Score = -1011
Trial 49, Try 5 complete: Score = -1011
Trial 49, Try 6 complete: Score = -1011
Trial 49, Try 7 complete: Score = -1011
Trial 49, Try 8 complete: Score = -1011
Trial 49, Try 9 complete: Score = -1011
Trial 49, Try 10 complete: Score = -1011
Trial 50, Try 1 complete: Score = -1007
Trial 50, Try 2 complete: Score = -1009
Trial 50, Try 3 complete: Score = -1000
Trial 50, Try 4 complete: Score = -1014
Trial 50, Try 5 complete: Score = -1000
Trial 50, Try 6 complete: Score = -1000
Trial 50, Try 7 complete: Score = -1000
Trial 50, Try 8 complete: Score = -1000
Trial 50, Try 9 complete: Score = -1000
Trial 50, Try 10 complete: Score = -1000
Trial 51, Try 1 complete: Score = -1014
Trial 51, Try 2 complete: Score = -1001
Trial 51, Try 3 complete: Score = -1016
Trial 51, Try 4 complete: Score = -1009
Trial 51, Try 5 complete: Score = -1009
Trial 51, Try 6 complete: Score = -1009
Trial 51, Try 7 complete: Score = -1009
Trial 51, Try 8 complete: Score = -1009
Trial 51, Try 9 complete: Score = -1009
Trial 51, Try 10 complete: Score = -1009
Trial 52, Try 1 complete: Score = -1007
Trial 52, Try 2 complete: Score = -1003
Trial 52, Try 3 complete: Score = -1005
Trial 52, Try 4 complete: Score = -1000
Trial 52, Try 5 complete: Score = -1002
Trial 52, Try 6 complete: Score = -1000
Trial 52, Try 7 complete: Score = -1000
Trial 52, Try 8 complete: Score = -1000
Trial 52, Try 9 complete: Score = -1000
Trial 52, Try 10 complete: Score = -1000
Trial 53, Try 1 complete: Score = -1002
Trial 54, Try 1 complete: Score = -1016
Trial 54, Try 2 complete: Score = -1003
Trial 54, Try 3 complete: Score = -1015
Trial 54, Try 4 complete: Score = -1009
Trial 54, Try 5 complete: Score = -1000
Trial 54, Try 6 complete: Score = -1000
Trial 54, Try 7 complete: Score = -1000
Trial 54, Try 8 complete: Score = -1000
Trial 54, Try 9 complete: Score = -1000
Trial 54, Try 10 complete: Score = -1000
Trial 57, Try 1 complete: Score = -1002
Trial 57, Try 2 complete: Score = -1001
Trial 57, Try 3 complete: Score = -1005
Trial 57, Try 4 complete: Score = -1000
Trial 57, Try 5 complete: Score = -1000
Trial 57, Try 6 complete: Score = -1000
Trial 57, Try 7 complete: Score = -1000
Trial 57, Try 8 complete: Score = -1000
Trial 57, Try 9 complete: Score = -1000
Trial 57, Try 10 complete: Score = -1000
Trial 58, Try 1 complete: Score = -1012
Trial 58, Try 2 complete: Score = -1011
Trial 58, Try 3 complete: Score = -1015
Trial 58, Try 4 complete: Score = -1009
Trial 58, Try 5 complete: Score = -1009
Trial 58, Try 6 complete: Score = -1009
Trial 58, Try 7 complete: Score = -1009
Trial 58, Try 8 complete: Score = -1009
Trial 58, Try 9 complete: Score = -1009
Trial 58, Try 10 complete: Score = -1009
Trial 59, Try 1 complete: Score = -1009
Trial 59, Try 2 complete: Score = -1009
Trial 59, Try 3 complete: Score = -1000
Trial 59, Try 4 complete: Score = -1000
Trial 59, Try 5 complete: Score = -1000
Trial 59, Try 6 complete: Score = -1000
Trial 59, Try 7 complete: Score = -1000
Trial 59, Try 8 complete: Score = -1000
Trial 59, Try 9 complete: Score = -1000
Trial 59, Try 10 complete: Score = -1000
Trial 60, Try 1 complete: Score = -1012
Trial 60, Try 2 complete: Score = -1013
Trial 60, Try 3 complete: Score = -1018
Trial 60, Try 4 complete: Score = -1019
Trial 61, Try 1 complete: Score = -1002
Trial 61, Try 2 complete: Score = -1015
Trial 61, Try 3 complete: Score = -1014
Trial 62, Try 1 complete: Score = -1002
Trial 63, Try 1 complete: Score = -1016
Trial 63, Try 2 complete: Score = -1020
Trial 63, Try 3 complete: Score = -1009
Trial 63, Try 4 complete: Score = -1009
Trial 63, Try 5 complete: Score = -1009
Trial 63, Try 6 complete: Score = -1009
Trial 63, Try 7 complete: Score = -1009
Trial 63, Try 8 complete: Score = -1009
Trial 63, Try 9 complete: Score = -1009
Trial 63, Try 10 complete: Score = -1009
Trial 65, Try 1 complete: Score = -1007
Trial 65, Try 2 complete: Score = -1001
Trial 65, Try 3 complete: Score = -1006
Trial 65, Try 4 complete: Score = -1000
Trial 65, Try 5 complete: Score = -1001
Trial 65, Try 6 complete: Score = -1000
Trial 65, Try 7 complete: Score = -1001
Trial 65, Try 8 complete: Score = -1000
Trial 65, Try 9 complete: Score = -1001
Trial 65, Try 10 complete: Score = -1000
Trial 66, Try 1 complete: Score = -1003
Trial 66, Try 2 complete: Score = -1001
Trial 66, Try 3 complete: Score = -1016
Trial 67, Try 1 complete: Score = -1014
Trial 68, Try 1 complete: Score = -1016
Trial 68, Try 2 complete: Score = -1009
Trial 68, Try 3 complete: Score = -1000
Trial 68, Try 4 complete: Score = -1000
Trial 68, Try 5 complete: Score = -1000
Trial 68, Try 6 complete: Score = -1000
Trial 68, Try 7 complete: Score = -1000
Trial 68, Try 8 complete: Score = -1000
Trial 68, Try 9 complete: Score = -1000
Trial 68, Try 10 complete: Score = -1000
Trial 70, Try 1 complete: Score = -1002
Trial 70, Try 2 complete: Score = -1007
Trial 70, Try 3 complete: Score = -1017
Trial 70, Try 4 complete: Score = -1000
Trial 70, Try 5 complete: Score = -1000
Trial 70, Try 6 complete: Score = -1000
Trial 70, Try 7 complete: Score = -1000
Trial 70, Try 8 complete: Score = -1000
Trial 70, Try 9 complete: Score = -1000
Trial 70, Try 10 complete: Score = -1000
Trial 71, Try 1 complete: Score = -1002
Trial 71, Try 2 complete: Score = -1005
Trial 71, Try 3 complete: Score = -1005
Trial 72, Try 1 complete: Score = -1002
Trial 72, Try 2 complete: Score = -1014
Trial 72, Try 3 complete: Score = -1020
Trial 72, Try 4 complete: Score = -1016
Trial 72, Try 5 complete: Score = -1020
Trial 72, Try 6 complete: Score = -1009
Trial 72, Try 7 complete: Score = -1000
Trial 72, Try 8 complete: Score = -1000
Trial 72, Try 9 complete: Score = -1000
Trial 72, Try 10 complete: Score = -1000
Trial 73, Try 1 complete: Score = -1016
Trial 73, Try 2 complete: Score = -1001
Trial 74, Try 1 complete: Score = -1004
Trial 74, Try 2 complete: Score = -1001
Trial 74, Try 3 complete: Score = -1004
Trial 74, Try 4 complete: Score = -1019
Trial 74, Try 5 complete: Score = -1023
Trial 74, Try 6 complete: Score = -1009
Trial 74, Try 7 complete: Score = -1001
Trial 74, Try 8 complete: Score = -1009
Trial 74, Try 9 complete: Score = -1001
Trial 74, Try 10 complete: Score = -1009
Trial 75, Try 1 complete: Score = -1006
Trial 75, Try 2 complete: Score = -1008
Trial 75, Try 3 complete: Score = -1000
Trial 75, Try 4 complete: Score = -1000
Trial 75, Try 5 complete: Score = -1000
Trial 75, Try 6 complete: Score = -1000
Trial 75, Try 7 complete: Score = -1000
Trial 75, Try 8 complete: Score = -1000
Trial 75, Try 9 complete: Score = -1000
Trial 75, Try 10 complete: Score = -1000
Trial 77, Try 1 complete: Score = -1004
Trial 77, Try 2 complete: Score = -1024
Trial 77, Try 3 complete: Score = -1000
Trial 77, Try 4 complete: Score = -1000
Trial 77, Try 5 complete: Score = -1000
Trial 77, Try 6 complete: Score = -1000
Trial 77, Try 7 complete: Score = -1000
Trial 77, Try 8 complete: Score = -1000
Trial 77, Try 9 complete: Score = -1000
Trial 77, Try 10 complete: Score = -1000
Trial 78, Try 1 complete: Score = -1003
Trial 79, Try 1 complete: Score = -1006
Trial 79, Try 2 complete: Score = -1001
Trial 79, Try 3 complete: Score = -1020
Trial 79, Try 4 complete: Score = -1000
Trial 79, Try 5 complete: Score = -1000
Trial 79, Try 6 complete: Score = -1000
Trial 79, Try 7 complete: Score = -1000
Trial 79, Try 8 complete: Score = -1000
Trial 79, Try 9 complete: Score = -1000
Trial 79, Try 10 complete: Score = -1000
Trial 80, Try 1 complete: Score = -1004
Trial 80, Try 2 complete: Score = -1007
Trial 80, Try 3 complete: Score = -1019
Trial 80, Try 4 complete: Score = -1000
Trial 80, Try 5 complete: Score = -1000
Trial 80, Try 6 complete: Score = -1000
Trial 80, Try 7 complete: Score = -1000
Trial 80, Try 8 complete: Score = -1000
Trial 80, Try 9 complete: Score = -1000
Trial 80, Try 10 complete: Score = -1000
Trial 81, Try 1 complete: Score = -1002
Trial 81, Try 2 complete: Score = -1004
Trial 82, Try 1 complete: Score = -1004
Trial 82, Try 2 complete: Score = -1024
Trial 82, Try 3 complete: Score = -1009
Trial 82, Try 4 complete: Score = -1000
Trial 82, Try 5 complete: Score = -1000
Trial 82, Try 6 complete: Score = -1000
Trial 82, Try 7 complete: Score = -1000
Trial 82, Try 8 complete: Score = -1000
Trial 82, Try 9 complete: Score = -1000
Trial 82, Try 10 complete: Score = -1000
Trial 83, Try 1 complete: Score = -1003
Trial 84, Try 1 complete: Score = -1002
Trial 84, Try 2 complete: Score = -1003
Trial 84, Try 3 complete: Score = -1002
Trial 84, Try 4 complete: Score = -1000
Trial 84, Try 5 complete: Score = -1000
Trial 84, Try 6 complete: Score = -1000
Trial 84, Try 7 complete: Score = -1000
Trial 84, Try 8 complete: Score = -1000
Trial 84, Try 9 complete: Score = -1000
Trial 84, Try 10 complete: Score = -1000
Trial 85, Try 1 complete: Score = -1002
Trial 86, Try 1 complete: Score = -1002
Trial 86, Try 2 complete: Score = -1007
Trial 86, Try 3 complete: Score = -1005
Trial 86, Try 4 complete: Score = -1000
Trial 86, Try 5 complete: Score = -1000
Trial 86, Try 6 complete: Score = -1000
Trial 86, Try 7 complete: Score = -1000
Trial 86, Try 8 complete: Score = -1000
Trial 86, Try 9 complete: Score = -1000
Trial 86, Try 10 complete: Score = -1000
Trial 89, Try 1 complete: Score = -1006
Trial 89, Try 2 complete: Score = -1006
Trial 89, Try 3 complete: Score = -1000
Trial 89, Try 4 complete: Score = -1000
Trial 89, Try 5 complete: Score = -1000
Trial 89, Try 6 complete: Score = -1000
Trial 89, Try 7 complete: Score = -1000
Trial 89, Try 8 complete: Score = -1000
Trial 89, Try 9 complete: Score = -1000
Trial 89, Try 10 complete: Score = -1000
Trial 90, Try 1 complete: Score = -1003
Trial 90, Try 2 complete: Score = -1017
Trial 90, Try 3 complete: Score = -1009
Trial 90, Try 4 complete: Score = -1019
Trial 90, Try 5 complete: Score = -1009
